id,name,email,admin,disqualified,tile_id,points,last_solved,team
1,Kelly Krause,tbarber@example.com,1,0,39,2301,2021-08-01 03:44:35,Queen,,
2,Lindsey Moon DVM,ryanpaula@example.org,1,0,2,100,2021-07-30 06:05:20,Ace,,
3,Robert Grimes,brittany73@example.net,1,0,25,1700,2021-07-30 06:30:34,Ace,,
4,Aaron Brown,lharvey@example.net,1,0,38,2301,2021-08-01 04:54:48,null,,
5,Christina Fisher,lopezchristopher@example.net,0,0,17,1100,2021-08-01 03:25:03,null,,
6,Shelley Ross,gcox@example.com,0,0,12,800,2021-08-01 01:47:00,Queen,,
7,Duane Barker,zbradshaw@example.net,0,0,11,700,2021-08-01 01:07:20,Ace,,
8,Beth Monroe,michaelhubbard@example.com,0,1,1,0,null,null,,
9,Darrell Bruce,stonemegan@example.org,0,0,1,0,null,Queen,,
10,Michelle Anderson,kingrussell@example.org,0,0,11,700,2021-08-01 00:55:32,Ace,,
11,Emily Jordan,patricia96@example.net,0,0,11,700,2021-08-01 00:46:31,Ace,,
12,Heather Terry,zjacobson@example.com,0,1,2,100,2021-07-30 17:41:25,null,,
13,Vanessa Pham,lmolina@example.net,0,0,1,0,null,null,,
14,Jason Mitchell,gary08@example.net,0,0,1,0,null,null,,
15,David Allison,jesse24@example.net,0,0,12,800,2021-07-31 23:59:09,Ace,,
16,Mrs. Teresa Hernandez MD,annamontes@example.net,0,0,1,0,null,null,,
17,John Pratt,nicoleking@example.org,0,0,1,0,null,null,,
18,Brianna Johnson,stephen97@example.net,0,0,39,2301,2021-08-01 04:52:56,Ace,,
19,Emily Vasquez,jeffreywall@example.net,0,0,12,800,2021-08-01 03:04:38,Ace,,
20,Taylor Dalton,nancycastro@example.net,0,0,11,700,2021-07-31 23:31:07,Ace,,
21,Heather Schroeder,lanesarah@example.com,0,0,12,800,2021-08-01 02:26:51,Ace,,
22,Brian Fuller,james75@example.com,0,0,11,700,2021-08-01 00:42:45,Ace,,
23,Sarah Skinner,nelsonzachary@example.net,0,0,12,800,2021-08-01 01:55:01,Ace,,
24,Adam Francis,lgonzalez@example.net,0,1,21,1400,2021-07-31 21:58:23,Queen,,
25,Carol Jones,jacquelineharris@example.net,0,0,8,500,2021-07-31 03:20:03,Queen,,
26,Diana Davis,cody96@example.net,0,0,1,0,null,Ace,,
27,Garrett Sanders,andersonmanuel@example.net,0,0,12,800,2021-08-01 01:52:36,Ace,,
28,Brooke Ramirez,katrina36@example.com,0,0,1,0,null,Queen,,
29,Katherine Flynn,vmclaughlin@example.org,0,0,12,800,2021-08-01 01:55:07,Queen,,
